,kmeans_class,super_class_in_classyFire
131313716,848,mixed class
130023426,249,mixed class
117200791,703,mixed class
657881,946,mixed class
67104756,832,Organoheterocyclic compounds
131544292,703,mixed class
91240659,259,mixed class
134498212,703,mixed class
115900484,744,mixed class
122672119,887,mixed class
102077805,133,mixed class
128842085,880,mixed class
64298057,962,mixed class
117194323,566,mixed class
53635190,417,mixed class
134600225,929,mixed class
131216359,660,mixed class
104668773,413,mixed class
121009122,417,mixed class
110851884,887,mixed class
105531530,840,mixed class
63823391,628,mixed class
107165766,80,mixed class
13045226,661,mixed class
71563565,417,mixed class
131048163,311,mixed class
122642237,776,mixed class
81422016,549,mixed class
130706470,259,mixed class
102256907,965,Benzenoids
20872011,902,mixed class
124510056,419,Organoheterocyclic compounds
72231599,584,mixed class
101884945,958,mixed class
131621716,902,mixed class
131603562,836,mixed class
116576484,126,mixed class
84025184,250,mixed class
58504840,419,Organoheterocyclic compounds
9899151,414,mixed class
105455070,984,mixed class
10584307,264,mixed class
23283839,880,mixed class
66246476,948,mixed class
61146521,811,mixed class
131216818,302,mixed class
64986802,972,mixed class
107003315,955,mixed class
115195728,325,mixed class
82671405,958,mixed class
105455581,769,mixed class
62637039,772,mixed class
123759004,419,Organoheterocyclic compounds
101365163,744,mixed class
105802981,401,mixed class
104167517,638,mixed class
93094358,933,mixed class
131465234,703,mixed class
20741888,835,Organoheterocyclic compounds
6907686,504,mixed class
45795451,699,mixed class
130175196,981,mixed class
130725496,761,mixed class
131544759,984,mixed class
13737917,946,mixed class
88616358,259,mixed class
83485452,817,mixed class
116604390,844,mixed class
105840831,955,mixed class
58102876,964,mixed class
10976560,836,mixed class
10798215,703,mixed class
62718742,915,mixed class
118647298,415,mixed class
132080553,772,mixed class
79862928,955,mixed class
14086435,964,mixed class
130999933,966,Organoheterocyclic compounds
88129728,966,Organoheterocyclic compounds
117275947,915,mixed class
60884866,413,mixed class
103715941,920,mixed class
53702336,902,mixed class
59534234,549,mixed class
3018496,414,mixed class
45089646,417,mixed class
134433985,592,mixed class
56617874,585,mixed class
5467611,964,mixed class
115022954,126,mixed class
80118628,385,Organoheterocyclic compounds
102471706,40,mixed class
130981439,840,mixed class
2747758,784,mixed class
80509348,250,mixed class
67789463,920,mixed class
88988710,975,mixed class
6485576,879,mixed class
82029095,385,Organoheterocyclic compounds
135189734,902,mixed class
84671396,413,mixed class
54048180,838,mixed class
55218934,584,mixed class
533441,831,mixed class
57039710,738,mixed class
115130764,950,mixed class
124130833,560,mixed class
43114570,984,mixed class
21591885,549,mixed class
59306210,419,Organoheterocyclic compounds
62202498,259,mixed class
17766637,581,mixed class
106735262,660,mixed class
61939011,534,mixed class
80652519,880,mixed class
90186228,177,mixed class
43133489,746,mixed class
81535567,419,Organoheterocyclic compounds
130102414,453,mixed class
129647181,126,mixed class
82506532,555,mixed class
96618941,958,mixed class
103093186,923,mixed class
82396955,902,mixed class
81373046,927,mixed class
67117651,433,mixed class
110735205,385,Organoheterocyclic compounds
5152151,723,mixed class
68415404,955,mixed class
90747408,259,mixed class
81285197,914,mixed class
130937619,230,mixed class
121000759,584,mixed class
89672065,933,mixed class
129999050,302,mixed class
130636913,433,mixed class
87721116,419,Organoheterocyclic compounds
67166489,703,mixed class
80605027,972,mixed class
82029062,708,mixed class
79193895,887,mixed class
79949597,70,mixed class
20056792,82,mixed class
53973687,82,mixed class
116839585,984,mixed class
112629394,772,mixed class
68167661,70,mixed class
96619114,840,mixed class
68503461,975,mixed class
103228636,166,mixed class
64614458,594,mixed class
12478786,259,mixed class
54263992,835,Organoheterocyclic compounds
129778236,549,mixed class
7560502,817,mixed class
86233441,964,mixed class
25001214,207,mixed class
68734131,159,mixed class
78861079,534,mixed class
61930896,401,mixed class
130019693,302,mixed class
114941380,166,mixed class
136765404,958,mixed class
117292203,199,mixed class
21508306,419,Organoheterocyclic compounds
2744881,932,mixed class
131450234,259,mixed class
82722000,871,mixed class
118840029,453,mixed class
1506539,259,mixed class
134513578,93,Organoheterocyclic compounds
137201146,902,mixed class
115106751,981,mixed class
105892298,534,mixed class
84118380,562,mixed class
23049646,404,mixed class
115022801,902,mixed class
82067238,562,mixed class
119001116,361,mixed class
3845263,890,mixed class
62899353,527,mixed class
80594169,840,mixed class
116080692,177,mixed class
131466908,946,mixed class
81038822,592,mixed class
127016200,836,mixed class
68265489,817,mixed class
66004861,968,mixed class
129322769,487,mixed class
114447524,948,mixed class
137450763,419,Organoheterocyclic compounds
103936733,871,mixed class
64565301,975,mixed class
90167740,259,mixed class
107000905,614,mixed class
87816392,9,mixed class
63392410,746,mixed class
61394777,966,Organoheterocyclic compounds
64282154,835,Organoheterocyclic compounds
131020478,259,mixed class
101768873,549,mixed class
45094694,385,Organoheterocyclic compounds
115394011,708,mixed class
84777566,958,mixed class
3761456,988,mixed class
130020973,414,mixed class
124579306,729,mixed class
116382879,811,mixed class
83670300,817,mixed class
130070928,453,mixed class
131156717,112,mixed class
117291312,199,mixed class
82608554,958,mixed class
15947116,302,mixed class
46312983,584,mixed class
116657532,638,mixed class
62573120,920,mixed class
63913886,500,mixed class
131312500,393,mixed class
21783941,840,mixed class
116017699,835,Organoheterocyclic compounds
45094686,955,mixed class
98773724,584,mixed class
131603335,840,mixed class
61952924,961,mixed class
91570066,533,mixed class
131190176,933,mixed class
82112540,855,mixed class
88417176,785,mixed class
81311274,964,mixed class
105097305,840,mixed class
63599878,915,mixed class
84118475,746,mixed class
112674257,415,mixed class
62503663,857,mixed class
85646026,509,mixed class
14089491,419,Organoheterocyclic compounds
61425391,700,mixed class
114987857,70,mixed class
130656115,112,mixed class
60795231,699,mixed class
89109268,417,mixed class
99978275,965,Benzenoids
104921283,601,mixed class
60692138,638,mixed class
58723178,975,mixed class
22672728,560,mixed class
21902142,581,mixed class
133392632,880,mixed class
115122605,414,mixed class
20214946,966,Organoheterocyclic compounds
90063972,914,mixed class
65642668,419,Organoheterocyclic compounds
57380012,259,mixed class
119031692,583,mixed class
53993198,417,mixed class
58899669,835,Organoheterocyclic compounds
105455456,984,mixed class
62809579,566,mixed class
12065105,417,mixed class
66926215,661,mixed class
82076745,84,mixed class
104421849,80,mixed class
81962198,302,mixed class
20742484,417,mixed class
60771139,947,Organoheterocyclic compounds
10679663,126,mixed class
43163546,966,Organoheterocyclic compounds
18471848,964,mixed class
71204405,549,mixed class
126498505,988,mixed class
54236383,581,mixed class
43525268,661,mixed class
83819648,562,mixed class
80300075,560,mixed class
130165711,540,mixed class
63064322,863,mixed class
130845556,487,mixed class
20712236,126,mixed class
115351778,836,mixed class
79955288,562,mixed class
130807006,744,mixed class
84013066,924,mixed class
114780507,562,mixed class
55139381,966,Organoheterocyclic compounds
375941,964,mixed class
14638724,751,mixed class
64898961,302,mixed class
124706073,729,mixed class
131001959,902,mixed class
84437189,785,mixed class
117291857,703,mixed class
84671239,393,mixed class
114493643,401,mixed class
101669332,583,mixed class
80500704,962,mixed class
25709792,344,mixed class
13435932,981,mixed class
64704239,111,mixed class
131594764,984,mixed class
119892889,924,mixed class
83063313,950,mixed class
122704225,277,mixed class
131533677,703,mixed class
68399961,835,Organoheterocyclic compounds
20930358,417,mixed class
116859641,417,mixed class
127537343,414,mixed class
116229201,984,mixed class
57202331,928,mixed class
106759127,259,mixed class
104519117,808,mixed class
130565683,902,mixed class
23047996,344,mixed class
92856902,808,mixed class
124249404,975,mixed class
65297711,560,mixed class
90523318,901,mixed class
53485656,584,mixed class
17886969,73,mixed class
130838602,361,mixed class
126703719,549,mixed class
103544175,82,mixed class
22364569,932,mixed class
29790846,562,mixed class
82506527,575,mixed class
130139599,829,mixed class
61577617,920,mixed class
129976734,958,mixed class
129975196,259,mixed class
69395602,965,Benzenoids
125449327,964,mixed class
117890977,966,Organoheterocyclic compounds
336801,720,mixed class
64692932,924,mixed class
115266036,880,mixed class
106438148,82,mixed class
65642611,880,mixed class
112715652,583,mixed class
89063428,772,mixed class
97618572,846,mixed class
137490084,477,Organoheterocyclic compounds
11106445,264,mixed class
80857660,950,mixed class
117271534,661,mixed class
106938257,915,mixed class
117271492,661,mixed class
115184598,126,mixed class
115720839,933,mixed class
110651562,950,mixed class
21497620,966,Organoheterocyclic compounds
61586116,601,mixed class
62310515,166,mixed class
121002345,946,mixed class
114987840,288,mixed class
84671448,487,mixed class
119088900,133,mixed class
88008478,326,mixed class
80546515,111,mixed class
59132414,555,mixed class
130523966,821,mixed class
58996273,417,mixed class
79529577,950,mixed class
18740373,417,mixed class
130861129,111,mixed class
103267099,963,mixed class
61361089,306,mixed class
81010242,742,mixed class
7095297,785,mixed class
129713700,414,mixed class
126566597,914,mixed class
60687053,950,mixed class
103102507,794,mixed class
104819236,835,Organoheterocyclic compounds
98162153,914,mixed class
103840570,259,mixed class
114733275,857,mixed class
131572295,361,mixed class
25003469,40,mixed class
65404380,742,mixed class
82842413,968,mixed class
59057324,259,mixed class
101125192,855,mixed class
108481265,901,mixed class
130502706,746,mixed class
130100890,73,mixed class
107716154,914,mixed class
136765402,984,mixed class
106175527,863,mixed class
93312279,840,mixed class
57878591,112,mixed class
65800199,950,mixed class
112647523,950,mixed class
63579993,111,mixed class
115731290,401,mixed class
81729043,177,mixed class
131452003,975,mixed class
107507520,534,mixed class
121829938,575,mixed class
87522534,948,mixed class
82336158,950,mixed class
84620123,898,mixed class
13526705,902,mixed class
21254356,82,mixed class
117187285,965,Benzenoids
96619065,703,mixed class
101392481,581,mixed class
22363278,966,Organoheterocyclic compounds
64611106,252,mixed class
80490913,417,mixed class
116166620,534,mixed class
5424903,504,mixed class
84777305,385,Organoheterocyclic compounds
115407634,950,mixed class
65259285,871,mixed class
86599729,687,mixed class
130378048,885,mixed class
129997280,393,mixed class
24879867,946,mixed class
63691579,906,mixed class
130105140,393,mixed class
15595464,966,Organoheterocyclic compounds
10420413,385,Organoheterocyclic compounds
43554746,166,mixed class
13025195,751,mixed class
62678756,414,mixed class
59668848,687,mixed class
62662849,811,mixed class
134301996,708,mixed class
12511033,506,mixed class
117216999,592,mixed class
84721624,566,mixed class
81444457,840,mixed class
600274,975,mixed class
229312,840,mixed class
89649306,981,mixed class
103578622,534,mixed class
63930234,772,mixed class
79193368,302,mixed class
83521417,871,mixed class
83410389,880,mixed class
81222879,846,mixed class
4214241,751,mixed class
117292180,199,mixed class
131393059,981,mixed class
65364507,966,Organoheterocyclic compounds
2735959,259,mixed class
131045749,933,mixed class
116549594,618,mixed class
88905645,660,mixed class
347833,659,mixed class
15904518,746,mixed class
88423418,946,mixed class
126518372,417,mixed class
62708741,126,mixed class
21860819,622,mixed class
20237855,181,mixed class
79679978,361,mixed class
103993409,80,mixed class
66138817,660,mixed class
59852490,963,mixed class
118837210,836,mixed class
122579788,126,mixed class
91068675,946,mixed class
129987991,946,mixed class
64682756,583,mixed class
734652,542,mixed class
66408584,821,mixed class
116645260,933,mixed class
69230339,417,mixed class
115920455,302,mixed class
131323323,835,Organoheterocyclic compounds
63932136,871,mixed class
116184833,915,mixed class
64165071,769,mixed class
130016867,59,mixed class
57723308,933,mixed class
17864346,984,mixed class
69780144,419,Organoheterocyclic compounds
107772580,111,mixed class
117183922,906,mixed class
116600918,742,mixed class
82539842,948,mixed class
60007087,821,mixed class
112487934,419,Organoheterocyclic compounds
123420213,379,mixed class
63155978,964,mixed class
106133029,948,mixed class
107847286,302,mixed class
59819666,821,mixed class
116102396,746,mixed class
117291672,835,Organoheterocyclic compounds
60641138,534,mixed class
80020623,699,mixed class
3033122,785,mixed class
